"room_type","reviews","overall_sa","bedrooms","price"
"Private room",21,5,1,189
"Entire home/apt",0,0,1,194
"Entire home/apt",0,0,1,194
"Entire home/apt",9,4,1,195
"Entire home/apt",27,5,1,195
"Entire home/apt",2,5,1,195
"Entire home/apt",0,0,1,195
"Entire home/apt",83,5,0,198
"Entire home/apt",54,5,1,199
"Entire home/apt",48,5,1,199
"Entire home/apt",5,5,1,199
"Entire home/apt",15,5,0,200
"Entire home/apt",2,5,0,200
"Entire home/apt",0,0,1,200
"Entire home/apt",14,4.5,0,210
"Entire home/apt",0,0,0,210
"Private room",2,3,1,220
"Entire home/apt",23,4,1,220
"Entire home/apt",32,4.5,2,220
"Entire home/apt",16,4.5,1,220
"Entire home/apt",8,5,1,220
"Entire home/apt",3,5,1,220
"Entire home/apt",1,3,0,225
"Entire home/apt",24,4,1,225
"Entire home/apt",4,4.5,NA,225
"Entire home/apt",2,4.5,1,225
"Entire home/apt",3,5,1,225
"Entire home/apt",16,4,1,229
"Entire home/apt",8,4.5,1,229
"Entire home/apt",4,5,0,229
"Entire home/apt",0,0,1,230
"Entire home/apt",4,4.5,1,239
"Entire home/apt",58,5,1,239
"Entire home/apt",3,4.5,2,245
"Entire home/apt",23,4.5,1,249
"Entire home/apt",2,5,1,249
"Entire home/apt",2,0,2,249
"Entire home/apt",7,5,2,250
"Entire home/apt",4,5,1,250
"Entire home/apt",3,5,1,250
"Entire home/apt",2,5,1,250
"Entire home/apt",0,0,1,250
"Private room",0,0,1,250
"Entire home/apt",11,4,1,251
"Entire home/apt",4,4.5,0,255
"Entire home/apt",2,3,1,259
"Entire home/apt",14,4.5,1,259
"Entire home/apt",6,4.5,1,259
"Entire home/apt",0,0,1,259
"Entire home/apt",0,0,1,259
"Entire home/apt",0,0,1,259
"Private room",0,0,1,259
"Entire home/apt",21,5,1,260
"Entire home/apt",1,0,1,265
"Entire home/apt",4,4.5,1,275
"Entire home/apt",13,5,1,275
"Private room",0,0,1,275
"Entire home/apt",11,4.5,1,280
"Entire home/apt",14,4.5,2,285
"Entire home/apt",6,5,1,285
"Entire home/apt",5,4,1,289
"Entire home/apt",1,4,1,289
"Private room",0,0,1,289
"Entire home/apt",5,5,1,295
"Entire home/apt",11,4.5,2,299
"Entire home/apt",10,4.5,2,299
"Entire home/apt",9,4.5,2,299
"Entire home/apt",9,4.5,2,299
"Entire home/apt",3,4.5,2,299
"Entire home/apt",1,5,2,299
"Entire home/apt",0,0,1,299
"Entire home/apt",1,4,1,300
"Entire home/apt",49,4.5,2,300
"Entire home/apt",0,0,1,300
"Entire home/apt",0,0,2,300
"Entire home/apt",0,0,1,300
"Private room",0,0,1,300
"Entire home/apt",11,4.5,1,309
"Entire home/apt",21,4.5,2,315
"Entire home/apt",0,0,2,315
"Entire home/apt",2,4,0,322
"Entire home/apt",4,4,1,325
"Entire home/apt",2,5,1,325
"Entire home/apt",0,0,1,339
"Entire home/apt",3,4.5,2,349
"Entire home/apt",7,5,2,349
"Entire home/apt",5,5,2,349
"Entire home/apt",1,5,2,349
"Entire home/apt",5,4,2,350
"Entire home/apt",12,4.5,2,350
"Entire home/apt",20,5,2,350
"Entire home/apt",13,5,2,350
"Entire home/apt",8,5,2,350
"Entire home/apt",1,5,2,350
"Entire home/apt",14,4.5,2,356
"Entire home/apt",14,4.5,2,359
"Entire home/apt",48,5,2,360
"Entire home/apt",22,4.5,2,375
"Entire home/apt",11,3.5,2,389
"Private room",4,4.5,1,389
"Entire home/apt",1,5,1,389
"Entire home/apt",6,4.5,2,395
"Entire home/apt",0,0,2,400
"Entire home/apt",1,0,2,449
"Entire home/apt",8,4.5,1,450
"Entire home/apt",0,0,2,450
"Entire home/apt",29,4,3,451
"Entire home/apt",20,4.5,3,451
"Entire home/apt",1,5,2,480
"Entire home/apt",15,4,3,489
"Entire home/apt",0,0,2,500
"Entire home/apt",0,0,2,549
"Entire home/apt",52,5,3,550
"Entire home/apt",28,5,2,550
"Entire home/apt",8,5,2,550
"Entire home/apt",4,5,3,550
"Entire home/apt",0,0,1,600
"Entire home/apt",2,5,2,650
"Entire home/apt",11,4.5,2,700
"Entire home/apt",0,0,2,1100
"Entire home/apt",0,0,2,1200
"Private room",4,5,1,70
"Entire home/apt",9,5,0,249
"Entire home/apt",2,5,1,240
"Entire home/apt",1,5,3,695
"Entire home/apt",0,0,2,249
"Entire home/apt",5,4.5,1,200
"Private room",17,4.5,1,110
"Private room",1,3,1,50
"Private room",1,0,1,65
"Entire home/apt",0,0,1,69
"Shared room",1,5,1,74
"Shared room",7,4,1,75
"Private room",69,5,1,79
"Private room",17,4.5,1,80
"Entire home/apt",1,5,0,89
"Private room",53,4.5,1,90
"Entire home/apt",1,2,0,99
"Private room",7,3.5,1,99
"Entire home/apt",63,4,0,99
"Entire home/apt",0,0,1,99
"Private room",35,4.5,1,100
"Entire home/apt",0,0,1,100
"Entire home/apt",8,4,1,105
"Private room",2,5,1,109
"Private room",8,3.5,1,110
"Private room",12,4,1,110
"Private room",11,4,1,110
"Private room",26,4.5,1,110
"Private room",19,4.5,1,110
"Private room",46,4.5,1,115
"Private room",17,4.5,1,115
"Private room",52,5,1,115
"Private room",2,5,1,118
"Private room",28,4,1,120
"Private room",25,4.5,1,120
"Entire home/apt",5,5,0,120
"Private room",16,4.5,1,125
"Private room",13,4.5,1,125
"Private room",11,4.5,1,125
"Private room",8,4.5,1,125
